,Close
2024-05-08,39056.39
2024-05-07,38884.26
2024-05-06,38852.27
2024-05-03,38675.68
2024-05-02,38225.66
2024-05-01,37903.29
2024-04-30,37815.92
2024-04-29,38386.09
2024-04-26,38239.66
2024-04-25,38085.8
2024-04-24,38460.92
2024-04-23,38503.69
2024-04-22,38239.98
2024-04-19,37986.4
2024-04-18,37775.38
2024-04-17,37753.31
2024-04-16,37798.97
2024-04-15,37735.11
2024-04-12,37983.24
2024-04-11,38459.08
2024-04-10,38461.51
2024-04-09,38883.67
2024-04-08,38892.8
2024-04-05,38904.04
2024-04-04,38596.98
2024-04-03,39127.14
2024-04-02,39170.24
2024-04-01,39566.85
2024-03-28,39807.37
2024-03-27,39760.08
2024-03-26,39282.33
2024-03-25,39313.64
2024-03-22,39475.9
2024-03-21,39781.37
2024-03-20,39512.13
2024-03-19,39110.76
2024-03-18,38790.43
2024-03-15,38714.77
2024-03-14,38905.66
2024-03-13,39043.32
2024-03-12,39005.49
2024-03-11,38769.66
2024-03-08,38722.69
2024-03-07,38791.35
2024-03-06,38661.05
2024-03-05,38585.19
2024-03-04,38989.83
2024-03-01,39087.38
2024-02-29,38996.39
2024-02-28,38949.02
2024-02-27,38972.41
2024-02-26,39069.23
2024-02-23,39131.53
2024-02-22,39069.11
2024-02-21,38612.24
2024-02-20,38563.8
2024-02-16,38627.99
2024-02-15,38773.12
2024-02-14,38424.27
2024-02-13,38272.75
2024-02-12,38797.38
2024-02-09,38671.69
2024-02-08,38726.33
2024-02-07,38677.36
2024-02-06,38521.36
2024-02-05,38380.12
2024-02-02,38654.42
2024-02-01,38519.84
2024-01-31,38150.3
2024-01-30,38467.31
2024-01-29,38333.45
2024-01-26,38109.43
2024-01-25,38049.13
2024-01-24,37806.39
2024-01-23,37905.45
2024-01-22,38001.81
2024-01-19,37863.8
2024-01-18,37468.61
2024-01-17,37266.67
2024-01-16,37361.12
2024-01-12,37592.98
2024-01-11,37711.02
2024-01-10,37695.73
2024-01-09,37525.16
2024-01-08,37683.01
2024-01-05,37466.11
2024-01-04,37440.34
2024-01-03,37430.19
2024-01-02,37715.04
2023-12-29,37689.54
2023-12-28,37710.1
2023-12-27,37656.52
2023-12-26,37545.33
2023-12-22,37385.97
2023-12-21,37404.35
2023-12-20,37082.0
2023-12-19,37557.92
2023-12-18,37306.02
2023-12-15,37305.16
2023-12-14,37248.35
2023-12-13,37090.24
2023-12-12,36577.94
2023-12-11,36404.93
2023-12-08,36247.87
2023-12-07,36117.38
2023-12-06,36054.43
2023-12-05,36124.56
2023-12-04,36204.44
2023-12-01,36245.5
2023-11-30,35950.89
2023-11-29,35430.42
2023-11-28,35416.98
2023-11-27,35333.47
2023-11-24,35390.15
2023-11-22,35273.03
2023-11-21,35088.29
2023-11-20,35151.04
2023-11-17,34947.28
2023-11-16,34945.47
2023-11-15,34991.21
2023-11-14,34827.7
2023-11-13,34337.87
2023-11-10,34283.1
2023-11-09,33891.94
2023-11-08,34112.27
2023-11-07,34152.6
2023-11-06,34095.86
2023-11-03,34061.32
2023-11-02,33839.08
2023-11-01,33274.58
2023-10-31,33052.87
2023-10-30,32928.96
2023-10-27,32417.59
2023-10-26,32784.3
2023-10-25,33035.93
2023-10-24,33141.38
2023-10-23,32936.41
2023-10-20,33127.28
2023-10-19,33414.17
2023-10-18,33665.08
2023-10-17,33997.65
2023-10-16,33984.54
2023-10-13,33670.29
2023-10-12,33631.14
2023-10-11,33804.87
2023-10-10,33739.3
2023-10-09,33604.65
2023-10-06,33407.58
2023-10-05,33119.57
2023-10-04,33129.55
2023-10-03,33002.38
2023-10-02,33433.35
2023-09-29,33507.5
2023-09-28,33666.34
2023-09-27,33550.27
2023-09-26,33618.88
2023-09-25,34006.88
2023-09-22,33963.84
2023-09-21,34070.42
2023-09-20,34440.88
2023-09-19,34517.73
2023-09-18,34624.3
2023-09-15,34618.24
2023-09-14,34907.11
2023-09-13,34575.53
2023-09-12,34645.99
2023-09-11,34663.72
2023-09-08,34576.59
2023-09-07,34500.73
2023-09-06,34443.19
2023-09-05,34641.97
2023-09-01,34837.71
